                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98381,                0.77305,                      1,                0.86205,              0.0002142,              0.0002142,              0.0002142
                      2,                0.47727,                0.88652,                      1,                0.70021,             0.00042692,             0.00042692,             0.00042692
                      3,                0.26143,                0.91489,                      1,                0.64642,             0.00063087,             0.00063087,             0.00063087
                      4,                0.18296,                0.94326,                      1,                0.61248,             0.00067159,             0.00067159,             0.00067159
                      5,                0.17425,                0.95035,                      1,                0.60481,             0.00067159,             0.00067159,             0.00067159
                      6,                0.22153,                0.92908,                      1,                0.62872,             0.00065745,             0.00065745,             0.00065745
                      7,                0.13805,                0.95035,                      1,                0.60439,             0.00064331,             0.00064331,             0.00064331
                      8,                0.16975,                0.94326,                      1,                0.61751,             0.00062918,             0.00062918,             0.00062918
                      9,                0.17666,                0.95745,                      1,                0.60235,             0.00061504,             0.00061504,             0.00061504
                     10,                0.13597,                0.92908,                      1,                0.61332,              0.0006009,              0.0006009,              0.0006009
                     11,                0.13476,                0.94326,                      1,                0.60233,             0.00058677,             0.00058677,             0.00058677
                     12,                0.11374,                0.95035,                      1,                0.60162,             0.00057263,             0.00057263,             0.00057263
                     13,                0.09534,                0.95745,                      1,                0.59947,             0.00055849,             0.00055849,             0.00055849
                     14,                 0.1078,                0.95035,                      1,                0.59624,             0.00054435,             0.00054435,             0.00054435
                     15,                0.09308,                0.94326,                      1,                0.60822,             0.00053022,             0.00053022,             0.00053022
                     16,                0.10274,                0.95035,                      1,                0.60176,             0.00051608,             0.00051608,             0.00051608
                     17,                0.08225,                0.95745,                      1,                0.60379,             0.00050194,             0.00050194,             0.00050194
                     18,                0.10782,                0.95745,                      1,                0.61928,              0.0004878,              0.0004878,              0.0004878
                     19,                0.10461,                0.94326,                      1,                0.60811,             0.00047367,             0.00047367,             0.00047367
                     20,                0.12565,                0.95035,                      1,                0.60511,             0.00045953,             0.00045953,             0.00045953
                     21,                0.09219,                0.93617,                      1,                0.60641,             0.00044539,             0.00044539,             0.00044539
                     22,                0.09686,                0.95035,                      1,                0.60959,             0.00043126,             0.00043126,             0.00043126
                     23,                0.09486,                0.95035,                      1,                0.62151,             0.00041712,             0.00041712,             0.00041712
                     24,                0.08119,                0.96454,                      1,                0.59425,             0.00040298,             0.00040298,             0.00040298
                     25,                0.09514,                0.95745,                      1,                 0.5976,             0.00038884,             0.00038884,             0.00038884
                     26,                0.10855,                0.95745,                      1,                0.60983,             0.00037471,             0.00037471,             0.00037471
                     27,                0.08809,                0.96454,                      1,                0.60184,             0.00036057,             0.00036057,             0.00036057
                     28,                0.07323,                0.95745,                      1,                0.60046,             0.00034643,             0.00034643,             0.00034643
                     29,                0.06606,                0.95745,                      1,                0.60219,              0.0003323,              0.0003323,              0.0003323
                     30,                0.09943,                0.95745,                      1,                0.59461,             0.00031816,             0.00031816,             0.00031816
                     31,                0.07144,                0.95745,                      1,                 0.5931,             0.00030402,             0.00030402,             0.00030402
                     32,                0.08607,                0.95035,                      1,                0.60962,             0.00028988,             0.00028988,             0.00028988
                     33,                0.05251,                0.95745,                      1,                0.59969,             0.00027575,             0.00027575,             0.00027575
                     34,                0.06065,                0.95035,                      1,                0.59414,             0.00026161,             0.00026161,             0.00026161
                     35,                0.06034,                0.95035,                      1,                0.60379,             0.00024747,             0.00024747,             0.00024747
                     36,                0.06776,                0.93617,                      1,                0.60017,             0.00023334,             0.00023334,             0.00023334
                     37,                0.05918,                0.94326,                      1,                0.59505,              0.0002192,              0.0002192,              0.0002192
                     38,                0.06753,                0.95035,                      1,                0.59496,             0.00020506,             0.00020506,             0.00020506
                     39,                 0.0529,                0.95035,                      1,                0.60172,             0.00019092,             0.00019092,             0.00019092
                     40,                0.06395,                0.95745,                      1,                0.59291,             0.00017679,             0.00017679,             0.00017679
                     41,                 0.0605,                0.95745,                      1,                0.61075,             0.00016265,             0.00016265,             0.00016265
                     42,                0.05101,                0.95745,                      1,                0.60004,             0.00014851,             0.00014851,             0.00014851
                     43,                0.04909,                0.95745,                      1,                0.60166,             0.00013437,             0.00013437,             0.00013437
                     44,                0.04396,                0.95745,                      1,                0.59273,             0.00012024,             0.00012024,             0.00012024
                     45,                0.06026,                0.95745,                      1,                0.59593,              0.0001061,              0.0001061,              0.0001061
                     46,                   0.05,                0.95745,                      1,                0.59559,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.03678,                0.95745,                      1,                0.59935,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                  0.053,                0.95745,                      1,                0.61378,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.04881,                0.95745,                      1,                0.60459,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.04455,                0.95745,                      1,                0.59164,             3.5414e-05,             3.5414e-05,             3.5414e-05
