Worker_ID,Date,Run_Off,Open_Seam,SPI_Errors,High_Low,Production_Volume,Shift,defect_count,count
W_00001,2024-01-01,3,0,5,3,600,Morning,11,589
W_00001,2024-01-02,4,4,4,5,600,Morning,17,583
W_00001,2024-01-03,5,2,0,5,600,Morning,12,588
W_00001,2024-01-04,5,6,2,4,600,Morning,17,583
W_00001,2024-01-05,3,3,1,6,600,Morning,13,587
W_00001,2024-01-08,6,1,5,6,600,Morning,18,582
W_00001,2024-01-09,1,1,2,2,600,Morning,6,594
W_00001,2024-01-10,3,5,3,4,600,Morning,15,585
W_00001,2024-01-11,1,4,1,1,600,Morning,7,593
W_00001,2024-01-12,4,1,5,6,600,Morning,16,584
W_00001,2024-01-15,2,3,1,1,600,Morning,7,593
W_00001,2024-01-16,0,6,6,4,600,Morning,16,584
W_00001,2024-01-17,6,0,4,0,600,Morning,10,590
W_00001,2024-01-18,5,0,6,1,600,Morning,12,588
W_00001,2024-01-19,2,3,3,4,600,Morning,12,588
W_00001,2024-01-22,6,4,6,3,600,Morning,19,581
W_00001,2024-01-23,0,5,2,1,600,Morning,8,592
W_00001,2024-01-24,0,0,4,0,600,Morning,4,596
W_00001,2024-01-25,2,5,1,0,600,Morning,8,592
W_00001,2024-01-26,4,5,3,1,600,Morning,13,587
W_00001,2024-01-29,5,2,3,2,600,Morning,12,588
W_00001,2024-01-30,4,2,6,1,600,Morning,13,587
W_00001,2024-01-31,6,2,1,4,600,Morning,13,587
W_00001,2024-02-01,3,5,3,6,600,Morning,17,583
W_00001,2024-02-02,4,1,1,2,600,Morning,8,592
W_00001,2024-02-05,1,3,2,1,600,Morning,7,593
W_00001,2024-02-06,3,2,4,3,600,Morning,12,588
W_00001,2024-02-07,2,0,5,4,600,Morning,11,589
W_00001,2024-02-08,4,3,5,3,600,Morning,15,585
W_00001,2024-02-09,2,6,0,3,600,Morning,11,589
W_00001,2024-02-12,4,5,2,2,600,Morning,13,587
W_00001,2024-02-13,0,4,4,4,600,Morning,12,588
W_00001,2024-02-14,2,4,2,0,600,Morning,8,592
W_00001,2024-02-15,1,1,2,2,600,Morning,6,594
W_00001,2024-02-16,1,3,4,4,600,Morning,12,588
W_00001,2024-02-19,2,0,5,1,600,Morning,8,592
W_00001,2024-02-20,1,4,6,6,600,Morning,17,583
W_00001,2024-02-21,3,5,4,3,600,Morning,15,585
W_00001,2024-02-22,5,2,6,5,600,Morning,18,582
W_00001,2024-02-23,4,2,2,6,600,Morning,14,586
W_00001,2024-02-26,0,1,2,2,600,Morning,5,595
W_00001,2024-02-27,4,6,0,2,600,Morning,12,588
W_00001,2024-02-28,2,1,6,5,600,Morning,14,586
W_00001,2024-02-29,3,3,0,5,600,Morning,11,589
W_00001,2024-03-01,1,2,4,6,600,Morning,13,587
W_00001,2024-03-04,0,1,1,4,600,Morning,6,594
W_00001,2024-03-05,6,6,2,3,600,Morning,17,583
W_00001,2024-03-06,5,0,0,4,600,Morning,9,591
W_00001,2024-03-07,3,3,6,5,600,Morning,17,583
W_00001,2024-03-08,0,4,3,6,600,Morning,13,587
W_00001,2024-03-11,2,5,4,1,600,Morning,12,588
W_00001,2024-03-12,2,1,3,5,600,Morning,11,589
W_00001,2024-03-13,4,2,0,4,600,Morning,10,590
W_00001,2024-03-14,6,4,1,3,600,Morning,14,586
W_00001,2024-03-15,3,5,2,2,600,Morning,12,588
W_00001,2024-03-18,2,4,1,5,600,Morning,12,588
W_00001,2024-03-19,3,6,5,1,600,Morning,15,585
W_00001,2024-03-20,2,1,0,3,600,Morning,6,594
W_00001,2024-03-21,6,4,2,5,600,Morning,17,583
W_00001,2024-03-22,6,1,0,4,600,Morning,11,589
W_00001,2024-03-25,2,6,3,6,600,Morning,17,583
W_00001,2024-03-26,4,3,6,4,600,Morning,17,583
W_00001,2024-03-27,0,6,5,2,600,Morning,13,587
W_00001,2024-03-28,2,3,5,5,600,Morning,15,585
W_00001,2024-03-29,4,0,1,4,600,Morning,9,591
W_00001,2024-04-01,1,1,3,0,600,Morning,5,595
W_00001,2024-04-02,2,4,3,5,600,Morning,14,586
W_00001,2024-04-03,0,2,2,4,600,Morning,8,592
W_00001,2024-04-04,4,3,5,4,600,Morning,16,584
