Worker_ID,Mean Squared Error,R² Score,Mean Absolute Error
W_00001,"[4.5990908015633245, 4.0155166830528195, 3.481986191269462, 3.8572488716143316]","[-0.001771561847966785, -0.0008308745194647305, -0.004657531402456838, -0.0008735371372463607]","[1.8632280397183314, 1.7447069141300617, 1.6367625273129591, 1.6876120474613707]"
W_00002,"[4.255443256718064, 4.028991409390011, 3.69189921410833, 3.8372377350812723]","[-0.0008751221095699702, -0.012184298362791779, -0.001908619302311676, -0.005920495002245785]","[1.8121666377520174, 1.6968675986400859, 1.6321700673034034, 1.6438018257264606]"
W_00003,"[4.69731548541673, 3.9867025209806353, 4.126504559239795, 4.005463041382186]","[-0.00027111861900563916, -4.193336340385656e-07, -0.0001365030763325059, -0.0028118918993189634]","[1.9010656691849457, 1.7369140685927908, 1.7650814597084665, 1.7383584246374417]"
W_00004,"[4.26793650658061, 4.355178139914028, 4.116589279484395, 4.246464079951287]","[-0.011206550152598194, -0.04279325044660798, -0.01482777635953636, -0.002200208855543284]","[1.7977597909265992, 1.8228416874760058, 1.8010730873016905, 1.824305249925698]"
W_00005,"[4.2202179601504, 3.9426459409854044, 4.105914107587373, 3.8341968554830403]","[-0.0056655322374434824, -0.004164761577289733, -0.009932209256012126, -0.002596552810636199]","[1.7868501820558147, 1.6986352902259407, 1.7447319274099446, 1.621146139678711]"
W_00006,"[3.7785107094372883, 4.325376847304482, 3.3952926444565614, 3.758874953071801]","[-0.005958763654897892, -0.009099645961488712, -0.012423382420133633, -5.907418095807415e-06]","[1.6625993955445575, 1.7803055815935063, 1.536612493017934, 1.6616488376492766]"
W_00007,"[3.6585489813765455, 4.080613190674909, 4.121296716488214, 3.9091204922277094]","[-0.006690733216689004, -0.020470099594374513, -0.002416805315988535, -0.004222027516516569]","[1.6309538259243044, 1.728760385733462, 1.7428693311358145, 1.717850643066174]"
W_00008,"[4.372490619816611, 3.9156755484021937, 4.313153190160814, 4.1517747258181155]","[-1.700212639033083e-05, -0.01404529591493886, -0.0007115090492724185, -0.009515177614480175]","[1.8190786246685067, 1.6459305924251344, 1.7853105323300387, 1.7356976549889895]"
W_00009,"[4.165017659341195, 3.6985062027526387, 3.829151344968639, 4.281501609861931]","[0.026856653584223844, -0.0007967920299694065, 0.018331681566329583, 0.021259043188560423]","[1.7329173333981642, 1.6586885679775416, 1.6395080893340261, 1.7941229457219854]"
W_00010,"[3.8020785461561744, 4.200181580161925, 3.559608687127977, 4.039407426417908]","[-0.0032883263524030593, -0.012371422461305404, -0.0016916681560874558, -0.05538333605200174]","[1.6252075849926928, 1.7896756437430208, 1.576449772836368, 1.719123728137702]"
