Employee_ID,Date,Defect_Type,Defect_Count,Defect_Rate,Weekday
EMP592,2024-01-01,Openseam,63,83.33903620262197,Monday
EMP592,2024-01-01,SPI Errors,68,35.13662004686952,Monday
EMP592,2024-01-01,High Low,91,67.00042694896602,Monday
EMP592,2024-01-01,Runoff,57,32.98888314051063,Monday
EMP592,2024-01-02,Runoff,57,71.16755414803775,Tuesday
EMP592,2024-01-02,SPI Errors,78,84.75299784512946,Tuesday
EMP592,2024-01-02,Openseam,61,96.76709482102915,Tuesday
EMP592,2024-01-02,High Low,67,10.323997169287969,Tuesday
EMP592,2024-01-03,High Low,85,55.90725726063129,Wednesday
EMP592,2024-01-03,Runoff,89,47.7266385691138,Wednesday
EMP592,2024-01-03,Openseam,63,37.91369283531558,Wednesday
EMP592,2024-01-03,SPI Errors,93,93.43017729987692,Wednesday
EMP592,2024-01-04,Runoff,76,70.797496369211,Thursday
EMP592,2024-01-04,SPI Errors,85,90.54264667297127,Thursday
EMP592,2024-01-04,High Low,50,73.71776329673658,Thursday
EMP592,2024-01-04,Openseam,50,59.49980228615686,Thursday
EMP592,2024-01-05,High Low,94,58.46127414000094,Friday
EMP592,2024-01-05,Runoff,70,15.151510834502401,Friday
EMP592,2024-01-05,Openseam,87,54.85552646688453,Friday
EMP592,2024-01-05,SPI Errors,51,42.63587261437036,Friday
EMP592,2024-01-08,SPI Errors,72,71.9480967100675,Monday
EMP592,2024-01-08,High Low,79,74.5316314565211,Monday
EMP592,2024-01-08,Runoff,96,82.82252822143263,Monday
EMP592,2024-01-08,Openseam,82,40.19145258127404,Monday
EMP592,2024-01-09,High Low,83,82.79395828327196,Tuesday
EMP592,2024-01-09,Openseam,81,13.310545944830498,Tuesday
EMP592,2024-01-09,SPI Errors,97,34.08183613688048,Tuesday
EMP592,2024-01-09,Runoff,98,65.04727446850848,Tuesday
EMP592,2024-01-10,Openseam,51,49.56523236178641,Wednesday
EMP592,2024-01-10,Runoff,91,31.665484420627855,Wednesday
EMP592,2024-01-10,SPI Errors,85,28.80052997494832,Wednesday
EMP592,2024-01-10,High Low,65,1.9500896384105348,Wednesday
EMP592,2024-01-11,High Low,89,25.22392890743017,Thursday
EMP592,2024-01-11,Openseam,68,63.343128748869674,Thursday
EMP592,2024-01-11,SPI Errors,75,34.738480629640065,Thursday
EMP592,2024-01-11,Runoff,63,46.53780696388937,Thursday
EMP592,2024-01-12,SPI Errors,51,32.84257753696562,Friday
EMP592,2024-01-12,High Low,64,5.972559665807308,Friday
EMP592,2024-01-12,Runoff,98,68.88763267558744,Friday
EMP592,2024-01-12,Openseam,84,25.033052341301943,Friday
EMP592,2024-01-15,High Low,58,60.92100559972975,Monday
EMP592,2024-01-15,Openseam,65,29.342672522407774,Monday
EMP592,2024-01-15,SPI Errors,93,83.73346273047802,Monday
EMP592,2024-01-15,Runoff,88,45.91881688846971,Monday
EMP592,2024-01-16,Runoff,88,44.39080441616401,Tuesday
EMP592,2024-01-16,SPI Errors,86,83.92355345317486,Tuesday
EMP592,2024-01-16,Openseam,98,83.1046349789358,Tuesday
EMP592,2024-01-16,High Low,71,12.343398433427211,Tuesday
EMP592,2024-01-17,SPI Errors,75,60.579506366336325,Wednesday
EMP592,2024-01-17,Runoff,83,3.0618259897931877,Wednesday
EMP592,2024-01-17,Openseam,61,85.81453556634035,Wednesday
EMP592,2024-01-17,High Low,75,55.206385387879976,Wednesday
EMP592,2024-01-18,Runoff,56,40.20587366373219,Thursday
EMP592,2024-01-18,SPI Errors,96,86.61057864617118,Thursday
EMP592,2024-01-18,High Low,64,47.20952491075062,Thursday
EMP592,2024-01-18,Openseam,91,62.77258189690994,Thursday
EMP592,2024-01-19,SPI Errors,91,66.79320556799574,Friday
EMP592,2024-01-19,Runoff,80,86.57301521880993,Friday
EMP592,2024-01-19,High Low,91,97.62113906132325,Friday
EMP592,2024-01-19,Openseam,85,57.69530276434756,Friday
EMP592,2024-01-22,High Low,70,91.21769565900773,Monday
EMP592,2024-01-22,SPI Errors,90,55.61265061612081,Monday
EMP592,2024-01-22,Runoff,81,91.57941374776003,Monday
EMP592,2024-01-22,Openseam,67,14.668393400047218,Monday
EMP592,2024-01-23,Openseam,53,87.44920891002475,Tuesday
EMP592,2024-01-23,Runoff,50,45.24688396425815,Tuesday
EMP592,2024-01-23,High Low,52,10.76127278210418,Tuesday
EMP592,2024-01-23,SPI Errors,100,57.007106025409094,Tuesday
EMP592,2024-01-24,Openseam,89,16.59269073649643,Wednesday
EMP592,2024-01-24,High Low,65,65.04626100030818,Wednesday
EMP592,2024-01-24,Runoff,98,44.141349036383396,Wednesday
EMP592,2024-01-24,SPI Errors,84,69.38291883514577,Wednesday
EMP592,2024-01-25,High Low,60,6.787398236324515,Thursday
EMP592,2024-01-25,SPI Errors,53,88.17616085102631,Thursday
EMP592,2024-01-25,Runoff,75,75.23811521856499,Thursday
EMP592,2024-01-25,Openseam,56,20.364163610787443,Thursday
EMP592,2024-01-26,Runoff,54,31.572724966667042,Friday
EMP592,2024-01-26,SPI Errors,72,9.943439538270994,Friday
EMP592,2024-01-26,High Low,95,94.15786698809444,Friday
EMP592,2024-01-26,Openseam,71,31.14666058137375,Friday
EMP592,2024-01-29,Openseam,60,62.402326395040085,Monday
EMP592,2024-01-29,Runoff,50,22.28417027322209,Monday
EMP592,2024-01-29,High Low,99,93.6837574472673,Monday
EMP592,2024-01-29,SPI Errors,83,67.93189912940143,Monday
EMP592,2024-01-30,High Low,90,84.36132813911388,Tuesday
EMP592,2024-01-30,SPI Errors,78,88.50334174105741,Tuesday
EMP592,2024-01-30,Runoff,84,55.21489790513181,Tuesday
EMP592,2024-01-30,Openseam,62,55.28052511858702,Tuesday
EMP592,2024-01-31,Openseam,72,55.504421698157046,Wednesday
EMP592,2024-01-31,SPI Errors,98,64.26380757892403,Wednesday
EMP592,2024-01-31,High Low,98,16.87430606006227,Wednesday
EMP592,2024-01-31,Runoff,79,64.57074843939328,Wednesday
EMP592,2024-02-01,High Low,99,97.26128059688183,Thursday
EMP592,2024-02-01,Openseam,83,29.07693652187785,Thursday
EMP592,2024-02-01,Runoff,80,73.39936285367087,Thursday
EMP592,2024-02-01,SPI Errors,86,72.76535001601775,Thursday
EMP592,2024-02-02,Runoff,83,74.18417178634807,Friday
EMP592,2024-02-02,High Low,75,77.19916480099967,Friday
EMP592,2024-02-02,SPI Errors,74,12.582830107664089,Friday
EMP592,2024-02-02,Openseam,91,62.601542140233136,Friday
EMP592,2024-02-05,Openseam,51,25.022626502446187,Monday
EMP592,2024-02-05,SPI Errors,69,7.485343330304584,Monday
EMP592,2024-02-05,Runoff,63,36.49660424479338,Monday
EMP592,2024-02-05,High Low,77,84.37712797256664,Monday
EMP592,2024-02-06,High Low,79,41.728940012189305,Tuesday
EMP592,2024-02-06,Openseam,82,50.175742654466546,Tuesday
EMP592,2024-02-06,Runoff,56,89.27866136762677,Tuesday
EMP592,2024-02-06,SPI Errors,55,91.56782715242778,Tuesday
EMP592,2024-02-07,High Low,52,11.58591566004633,Wednesday
EMP592,2024-02-07,SPI Errors,91,33.14522087954433,Wednesday
EMP592,2024-02-07,Runoff,89,33.0702213613781,Wednesday
EMP592,2024-02-07,Openseam,91,2.677308664179534,Wednesday
EMP592,2024-02-08,High Low,67,16.050062151729993,Thursday
EMP592,2024-02-08,Runoff,94,22.508532116019552,Thursday
EMP592,2024-02-08,SPI Errors,64,65.32505078457592,Thursday
EMP592,2024-02-08,Openseam,91,10.445185727991923,Thursday
EMP592,2024-02-09,SPI Errors,88,8.322541887314028,Friday
EMP592,2024-02-09,Openseam,54,46.245199981005534,Friday
EMP592,2024-02-09,High Low,82,52.368048874351366,Friday
EMP592,2024-02-09,Runoff,58,67.3914442892568,Friday
EMP592,2024-02-12,SPI Errors,58,98.77140348564953,Monday
EMP592,2024-02-12,High Low,100,26.052534863447985,Monday
EMP592,2024-02-12,Openseam,99,94.8603286595076,Monday
EMP592,2024-02-12,Runoff,68,23.04366943888838,Monday
EMP592,2024-02-13,Openseam,84,92.42556547119221,Tuesday
EMP592,2024-02-13,SPI Errors,94,89.68276302814574,Tuesday
EMP592,2024-02-13,Runoff,93,61.067594978074816,Tuesday
EMP592,2024-02-13,High Low,77,44.506620531964316,Tuesday
EMP592,2024-02-14,Openseam,64,23.605521647247485,Wednesday
EMP592,2024-02-14,SPI Errors,91,22.564658452580122,Wednesday
EMP592,2024-02-14,Runoff,89,34.81311497664324,Wednesday
EMP592,2024-02-14,High Low,95,40.47855141624779,Wednesday
EMP592,2024-02-15,Runoff,80,6.236818987257364,Thursday
EMP592,2024-02-15,SPI Errors,94,13.720279773785737,Thursday
EMP592,2024-02-15,Openseam,64,29.589685784423892,Thursday
EMP592,2024-02-15,High Low,69,50.77730797204774,Thursday
EMP592,2024-02-16,Openseam,52,4.887411905815431,Friday
EMP592,2024-02-16,SPI Errors,78,93.0202727899924,Friday
EMP592,2024-02-16,High Low,70,63.96552584646231,Friday
EMP592,2024-02-16,Runoff,63,53.14125060825111,Friday
EMP592,2024-02-19,High Low,98,91.7534152909894,Monday
EMP592,2024-02-19,Runoff,90,10.79579897645344,Monday
EMP592,2024-02-19,SPI Errors,55,79.58055097973684,Monday
